1198,土井 八枝
1048,アミーチス エドモンド・デ
1171,日本童話研究会 
1201,小舟 勝二
1205,下村 千秋
1206,石河 幹明
1208,山下 利三郎
805,宮崎 湖処子
1210,違星 北斗
1211,清沢 満之
595,島田 清次郎
1213,瀬沼 夏葉
374,饗庭 篁村
1217,ヴァレリー ポール
1221,荻原 雲来
977,竹越 三叉
978,竹越 与三郎
1224,久生 十蘭
1225,村山 俊太郎
1226,田村 松魚
265,島木 赤彦
448,江見 水蔭
506,河合 栄治郎
1227,佐野 友三郎
1228,辻村 もと子
1231,松本 文三郎
1232,伊東 忠太
1234,愛知 敬一
1235,カフカ フランツ
1236,チャペック カレル
1237,ニューヨーク・サン紙 
1238,ボーム ライマン・フランク
1239,ラング アンドルー
1240,加藤 道夫
1242,坪井 正五郎
1243,木村 小舟
930,山本 禾太郎
1177,吉田 絃二郎
1245,会津 八一
1246,恩地 孝四郎
1247,小金井 喜美子
1248,佐藤 垢石
1250,ケイ エレン
1251,ゴールドマン エマ
1252,石井 研堂
748,平田 晋策
956,白柳 秀湖
241,小栗 風葉
507,川上 眉山
802,三宅 花圃
1256,小林 一三
1257,アーヴィング ワシントン
1258,吉田 甲子太郎
1261,邦枝 完二
1290,?見 鈍太郎
1262,土原 耕作
1265,サン＝テグジュペリ アントワーヌ・ド
1266,牧野 富太郎
1264,榎本 武揚
1207,木村 芥舟
1192,ホーフマンスタール フーゴー・フォン
1268,小村 雪岱
1272,溝口 健二
929,宮島 資夫
1099,ホーマー 
1277,ガンジー マハトマ
1233,福永 渙
1280,hiro 
1279,ミドルトン リチャード・バラム
1139,エンゲルス フリードリッヒ
1138,マルクス カール・ハインリッヒ
1285,慶應義塾 
1286,桂 小南
1288,宮城 道雄
1289,犬田 卯
1292,平山 千代子
1862,式場 隆三郎
1294,兼常 清佐
1295,レスコーフ ニコライ・セミョーノヴィチ
1296,ランボー ジャン・ニコラ・アルチュール
1297,前田河 広一郎
1017,三上 義夫
